Vector,Naive Bayes,k Nearest,Decision Tree,Random Forest,AdaBoost,Support Vector Machine
Middle TimeFeats,0.6462974486621034,0.8198506533914125,0.690914747977598,0.8240199128811451,0.5634100808960797,0.8509023024268825
Middle FreqFeats,0.5461729931549472,0.6851897946484131,0.6184194150591165,0.7269446172993155,0.5390790292470442,0.699377722464219
Middle FFTs,0.5164281269446173,0.781207218419415,0.6663347853142502,0.8046048537647792,0.540883634100809,0.7690105787181083
Middle PSDLogs,0.7158058494088364,0.7870566272557562,0.6702551337896703,0.7917237087741131,0.5985065339141256,0.7940883634100808
Middle AllFeats,0.6591785936527691,0.824642190416926,0.7163036714374612,0.8313627878033604,0.5222153080273803,0.8495955196017423
Middle Combined,0.653951462352209,0.8128189172370875,0.7082762912258868,0.826633478531425,0.5609831985065339,0.8213441194772869
Left TimeFeats,0.4508405325641517,0.5801417247204993,0.5314968043634455,0.6650851970938033,0.45707101481743295,0.6966957642557678
Left FreqFeats,0.34726202095477415,0.5061739440052382,0.44272262057720974,0.5713388175433936,0.4450670787095749,0.5676224081666067
Left FFTs,0.48210789948806737,0.6337599846791152,0.5716249076147053,0.7128157501832998,0.5208074315441918,0.6978965974269215
Left PSDLogs,0.5878014971524168,0.6365614548696508,0.5517315655489904,0.700868907901645,0.5227508929693381,0.7133873257261609
Left AllFeats,0.4454098214126686,0.6210697624788982,0.532753734588221,0.6626263715631567,0.5113752177171915,0.7117872116038708
Left Combined,0.5598484154012149,0.6458796771306545,0.578998867764391,0.7181887138872154,0.5303538166830644,0.7267634418459182
Right TimeFeats,0.45049964635218087,0.5758095767312357,0.49886910255573846,0.6306324098950827,0.4608674811439789,0.6852910032633535
Right FreqFeats,0.3785237610122403,0.5021227385282685,0.45463645141064496,0.5786225330004131,0.46814780547499435,0.5734382734382735
Right FFTs,0.4928580476967574,0.6178919791823018,0.5619657587399522,0.6905303744013421,0.5279351058152901,0.6942802578747278
Right PSDLogs,0.5839721881196536,0.6135901739588375,0.5253438124405867,0.6767963385474907,0.5348854298163054,0.6962661755288484
Right AllFeats,0.4618057009762079,0.6080753209785468,0.5208215913285038,0.6606360855208782,0.5102855476127366,0.7073518750938106
Right Combined,0.5556786441579068,0.627323221332438,0.5686394451371409,0.6976450294422645,0.5351069102221175,0.718768745957686
Synthesis TimeFeats,0.5173803275457372,0.683581153399176,0.5853358459718834,0.7375092205307309,0.520621112754655,0.7819941835103877
Synthesis FreqFeats,0.4231021402876321,0.6230579723250543,0.5110090677077062,0.6626239549349343,0.4749079118283772,0.6840840247071959
Synthesis FFTs,0.5570580107455593,0.6798925818907293,0.628368123412909,0.7603662973456584,0.5998656687955688,0.7661783514198641
Synthesis PSDLogs,0.6151227792831013,0.6765399867652293,0.5897512209833431,0.7447753032994312,0.5804734030931005,0.76740860410028
Synthesis AllFeats,0.5483959829644105,0.7142619100832116,0.6224993444306121,0.7564547307277046,0.5815356363458601,0.7957976713738033
Synthesis Combined,0.6110989810600966,0.6960434064244394,0.6193697131784361,0.7528779535177487,0.5806971010167221,0.7836705982088235
